epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,12732.7,0.91886,0.35668,0.98486,0.9952,0.99508,0.99456,0.75663,1.0322,0.3268,1.01466,0.001486,0.001486,0.001486
88,12831.7,0.90681,0.35217,0.98184,0.99541,0.9946,0.99441,0.75673,1.03208,0.32634,1.01466,0.001387,0.001387,0.001387
89,12933.4,0.91044,0.35313,0.98222,0.99556,0.9952,0.99423,0.7553,1.03453,0.32635,1.01582,0.001288,0.001288,0.001288
90,13042.7,0.90362,0.35114,0.98452,0.99542,0.9946,0.9942,0.75408,1.03426,0.32667,1.01691,0.001189,0.001189,0.001189
91,13209.7,0.89642,0.32459,0.98787,0.9952,0.99452,0.99423,0.75177,1.0368,0.32919,1.01687,0.00109,0.00109,0.00109
92,13310.7,0.88951,0.3213,0.98519,0.9964,0.99518,0.99414,0.75259,1.03837,0.32866,1.01781,0.000991,0.000991,0.000991
93,13418.9,0.88105,0.31897,0.98428,0.99631,0.9952,0.99429,0.75342,1.03995,0.32872,1.01937,0.000892,0.000892,0.000892
94,13549.6,0.88159,0.31787,0.98486,0.99564,0.9946,0.99444,0.75305,1.04134,0.32995,1.02024,0.000793,0.000793,0.000793
95,13701.4,0.87407,0.31417,0.98206,0.99547,0.9946,0.99456,0.75415,1.04252,0.32949,1.02074,0.000694,0.000694,0.000694
96,13844.8,0.87239,0.31325,0.98052,0.99539,0.9946,0.99445,0.75156,1.04207,0.32938,1.02094,0.000595,0.000595,0.000595
97,13993.8,0.86752,0.31035,0.97809,0.99566,0.9952,0.99446,0.75088,1.04318,0.32903,1.02133,0.000496,0.000496,0.000496
98,14126.2,0.86413,0.30716,0.98051,0.99514,0.9952,0.99447,0.75146,1.04239,0.32844,1.0213,0.000397,0.000397,0.000397
99,14258.5,0.86287,0.30765,0.9766,0.99559,0.9946,0.99445,0.75082,1.04204,0.32928,1.02196,0.000298,0.000298,0.000298
100,14390.7,0.85805,0.30269,0.97472,0.99554,0.9946,0.99442,0.7496,1.04285,0.32942,1.02258,0.000199,0.000199,0.000199
